pred_feature,正面,负面,总计,负面比例
油耗,69,76,145,0.52
发动机,6,42,48,0.88
后备箱,8,38,46,0.83
配置,16,36,52,0.69
刹车,1,31,32,0.97
座椅,3,29,32,0.91
动力,25,28,53,0.53
大灯,3,28,31,0.9
后排,8,26,34,0.76
内饰,11,23,34,0.68
中控,1,23,24,0.96
"发动机,声音",1,22,23,0.96
倒车,4,21,25,0.84
天窗,6,21,27,0.78
悬挂,3,19,22,0.86
减震,0,18,18,1.0
声音,1,18,19,0.95
导航,0,17,17,1.0
味道,2,17,19,0.89
车窗,0,16,16,1.0
轮胎,2,16,18,0.89
变速箱,4,16,20,0.8
后视镜,0,16,16,1.0
车门,2,14,16,0.88
底盘,9,14,23,0.61
4S店,1,13,14,0.93
方向盘,5,13,18,0.72
空调,1,12,13,0.92
隔音,4,11,15,0.73
空间,65,10,75,0.13
"后排,座椅",0,9,9,1.0
外观,52,8,60,0.13
做工,2,8,10,0.8
储物,0,8,8,1.0
"后排,空间",4,7,11,0.64
气味,0,6,6,1.0
换挡,3,6,9,0.67
雾灯,1,6,7,0.86
车身,2,6,8,0.75
仪表盘,0,6,6,1.0
油门,0,6,6,1.0
"出风口,后排",0,6,6,1.0
安全,10,6,16,0.38
"后排,出风口",0,5,5,1.0
功能,4,5,9,0.56
悬架,4,5,9,0.56
价格,2,5,7,0.71
"后排,储物",0,5,5,1.0
离合,0,5,5,1.0
尾灯,1,5,6,0.83
"动力,油耗",1,4,5,0.8
"内饰,声音",0,4,4,1.0
性价比,35,4,39,0.1
"倒车,摄像头",2,4,6,0.67
"变速箱,倒车",0,3,3,1.0
"轮胎,隔音",0,3,3,1.0
"配置,倒车",0,3,3,1.0
工艺,0,3,3,1.0
车灯,0,3,3,1.0
扶手箱,0,3,3,1.0
"隔音,轮胎",0,3,3,1.0
制动,1,3,4,0.75
转向,2,3,5,0.6
"空间,后排",8,3,11,0.27
"声音,发动机",0,3,3,1.0
"导航,倒车",0,3,3,1.0
"内饰,隔音",0,3,3,1.0
转弯,0,3,3,1.0
"发动机,隔音",1,3,4,0.75
头枕,0,3,3,1.0
"后备箱,做工",0,2,2,1.0
"内饰,座椅",0,2,2,1.0
"动力,发动机,声音",0,2,2,1.0
"后备箱,储物",0,2,2,1.0
"刹车,声音",0,2,2,1.0
"车门,车窗",0,2,2,1.0
"内饰,悬架",0,2,2,1.0
"后备箱,内饰",0,2,2,1.0
"油门,声音",0,2,2,1.0
"摄像头,倒车",0,2,2,1.0
手动挡,0,2,2,1.0
"油耗,空调",0,2,2,1.0
"空间,前排",0,2,2,1.0
用料,0,2,2,1.0
"变速箱,4S店",0,2,2,1.0
座位,0,2,2,1.0
"中控,做工",0,2,2,1.0
倒车灯,0,2,2,1.0
"底盘,4S店",0,2,2,1.0
"动力,油门",0,2,2,1.0
"车窗,大灯",0,2,2,1.0
"倒车,价格",0,2,2,1.0
"后排,空间,座椅",0,2,2,1.0
"仪表盘,油耗",0,2,2,1.0
"配置,空调",0,2,2,1.0
"天窗,味道",0,2,2,1.0
"空调,味道",0,2,2,1.0
"4S店,导航",0,2,2,1.0
"发动机,声音,隔音",0,2,2,1.0
"发动机,底盘",0,2,2,1.0
"空调,4S店",0,2,2,1.0
"价格,配置",0,2,2,1.0
"内饰,价格",1,2,3,0.67
"内饰,用料",0,2,2,1.0
尾部,1,2,3,0.67
"后视镜,车窗",0,2,2,1.0
"做工,内饰",0,2,2,1.0
"倒车,离合",0,2,2,1.0
"中控,导航",0,2,2,1.0
"内饰,储物",0,2,2,1.0
"声音,速度",0,2,2,1.0
"底盘,悬挂",0,2,2,1.0
